#
# Lab 6
#

#|------------inputs-----------------|     |------------------------------------outputs-------------------------------|    |-------------------inputs------------------|
#  F7  | rs2 | rs1 |f3 | rd  | opcode
instruction                               Func  RegAddrA RegAddrB DestReg RS1v RS2v RDv Left        Right       Extra        RegDataA    RegDataB    PC           Stall
# LUI (U)
0000000_00000_00000_111_00001_0110111     LUI-- 00000    00000    00001   0    0    1   00_00_00_00 00_00_00_00 00_00_70_00  00_00_00_AA 00_00_00_BB 00_00_11_11  0 
0000000_11000_00001_010_00010_0000011     LW--- 00001    00000    00010   1    0    1   00_00_00_18 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# LBU (I)
0000000_11000_00001_100_00010_0000011     LBU-- 00001    00000    00010   1    0    1   00_00_00_18 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# LHU (I)
0000000_11000_00001_101_00010_0000011     LHU-- 00001    00000    00010   1    0    1   00_00_00_18 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SB (S)
1111111_00010_00001_000_11111_0100011     SB--- 00001    00010    00000   1    1    0   FF_FF_FF_FF 00'00'00'AA 00'00'00'BB  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SH (S)
1111111_00010_00001_001_11111_0100011     SH--- 00001    00010    00000   1    1    0   FF_FF_FF_FF 00'00'00'AA 00'00'00'BB  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SW (S)
1111111_00010_00001_010_11111_0100011     SW--- 00001    00010    00000   1    1    0   FF_FF_FF_FF 00'00'00'AA 00'00'00'BB  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# ADDI (I)
0000000_11111_00001_000_00010_0010011     ADDI- 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SLTI (I)
0000000_11111_00001_010_00010_0010011     SLTI- 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SLTIU (I)
0000000_11111_00001_011_00010_0010011     SLTIU 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# XORI (I)
0000000_11111_00001_100_00010_0010011     XORI- 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# ORI (I)
0000000_11111_00001_110_00010_0010011     ORI-- 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# ANDI (I)
0000000_11111_00001_111_00010_0010011     ANDI- 00001    00000    00010   1    0    1   00_00_00_1F 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0

#  F7  | rs2 | rs1 |f3 | rd  | opcode
#instruction                              Func  RegAddrA RegAddrB DestReg RS1v RS2v RDv Left        Right       Extra        RegDataA    RegDataB    PC           Stall
# SLLI (I)
0000000_00001_00001_001_00010_0010011     SLLI- 00001    00000    00010   1    0    1   00_00_00_01 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SRLI (I)
0000000_00001_00001_101_00010_0010011     SRLI- 00001    00000    00010   1    0    1   00_00_00_01 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SRAI (I)
0100000_00001_00001_101_00010_0010011     SRAI- 00001    00000    00010   1    0    1   00_00_00_01 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# ADD (R)
0000000_00010_00001_000_00011_0110011     ADDr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SUB (R)
0100000_00010_00001_000_00011_0110011     SUBr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SLL (R)
0000000_00010_00001_001_00011_0110011     SLLr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SLT (R)
0000000_00010_00001_010_00011_0110011     SLTr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SLTU (R)
0000000_00010_00001_011_00011_0110011     SLTUr 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# XOR (R)
0000000_00010_00001_100_00011_0110011     XORr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SRL (R)
0000000_00010_00001_101_00011_0110011     SRLr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# SRA (R)
0100000_00010_00001_101_00011_0110011     SRAr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# OR (R)
0000000_00010_00001_110_00011_0110011     ORr-- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0
# AND (R)
0000000_00010_00001_111_00011_0110011     ANDr- 00001    00010    00011   1    1    1   00_00_00_BB 00'00'00'AA 00'00'00'00  00'00'00'AA 00'00'00'BB 00'00'11'11  0


